;;;;;;
PA_1577;48.894069;2.386794;;;;
PA_1575;48.894497;2.388160;;;;
PA_1574;48.894974;2.389027;;;;
PA_1573;48.894681;2.389337;;;;
PA_1572;48.895070;2.390165;;;;
PA_1571;48.895143;2.391105;;;;
PA_1584;48.895667;2.393457;;;;
PA_1579;48.893602;2.390392;;;;
PA_1578;48.893586;2.389792;;;;
PA_1576;48.892206;2.387294;;;;
PA_1582;48.892102;2.387509;;;;
PA_1583;48.891863;2.389164;;;;
PA_1589;48.892480;2.391400;;;;
PA_1581;48.892829;2.392825;;;;
PA_1580;48.892603;2.393911;;;;
PA_1588;48.889868;2.392243;;;;
PA_1587;48.890653;2.392078;;;;
PA_1586;48.890865;2.390075;;;;
PA_1585;48.889787;2.390462;;;;
